character,position,baxter,emc
鋀,透一侯平,thuw,t̙ʰu
鋂,明一灰平,mwoj,m̙wəj
鋃,來開一唐平,lang,l̙ɑŋ
鋇,幫一泰去,pajH,p̙ɑjh
鋈,影一冬入,'owk,ʔ̙ok
鋊,以三鍾入,yowk,jok
鋋,以開三仙平,yen,jen
鋋,常開三仙平,dzyen,dʑen
鋌,定開四青上,dengX,d̙eŋʔ
鋏,見開四添入,kep,qep
鋑,精合三仙平,tsjwen,tsjwen
鋒,滂三C鍾平,phjowng,pʰɨ̯oŋ
鋖,心開三脂平,sij,si
鋗,曉合四先平,xwen,χwen
鋘,匣合二麻平,hwae,ʁwaˤ
鋘,疑一模平,ngu,ɴo
鋙,疑開三C魚上,ngjoX,ŋɨ̯əʔ
鋙,疑開三C魚平,ngjo,ŋɨ̯ə
鋚,定開四蕭平,dew,d̙ew
鋜,崇二江入,dzraewk,dʐoˤk
鋝,來合三仙入,ljwet,ljwet
鋞,匣開四青上,hengX,ʁeŋʔ
鋞,匣開四青平,heng,ʁeŋ
鋟,清開三侵上,tshimX,tsʰimʔ
鋟,精開三鹽平,tsjem,tsjem
鋠,常開三真上,dzyinX,dʑinʔ
鋡,匣開一覃平,hom,ʁəm
鋤,崇開三魚平,dzrjo,dʐɨ̯ə
鋥,澄開二庚去,draengH,ɖaˤŋh
鋦,見三C鍾入,kjowk,kɨ̯ok
鋩,明三C陽平,mjang,mɨ̯ɑŋ
鋪,滂一模去,phuH,p̙ʰoh
鋪,滂一模平,phu,p̙ʰo
鋪,滂三C虞平,phju,pʰɨ̯o
鋸,見開三C魚去,kjoH,kɨ̯əh
鋹,徹開三陽上,trhjangX,ʈʰjɑŋʔ
鋻,見開四先去,kenH,qenh
鋻,見開四先平,ken,qen
鋼,見開一唐去,kangH,qɑŋh
鋼,見開一唐平,kang,qɑŋ
鋽,透開四蕭去,thewH,t̙ʰewh
鋿,常開三陽平,dzyang,dʑɑŋ
錀,滂三C文平,phjun,pʰɨ̯un
錄,來三鍾入,ljowk,ljok
錉,明三B真平,min,mɨ̯in
錊,精一冬入,tsowk,t̙s̙ok
錍,滂四齊平,phej,p̙ʰej
錍,幫三A支平,pjie,pjie
錎,匣開二咸去,heamH,ʁeˤmh
錎,溪開一覃上,khomX,qʰəmʔ
錏,影開二麻平,'ae,ʔ̙aˤ
錐,章合三脂平,tsywij,tɕwi
錑,來合一灰去,lwojH,l̙wəjh
錔,透開一覃入,thop,t̙ʰəp
錕,見合一魂上,kwonX,qwənʔ
錕,見合一魂平,kwon,qwən
錖,端一冬入,towk,t̙ok
錘,澄合三支去,drjweH,ɖjwieh
錘,澄合三支平,drjwe,ɖjwie
錙,莊開三之平,tsri,tʂɨ
錚,初開二耕平,tsrheang,tʂʰeˤŋ
錜,泥開四添入,nep,n̙ep
錝,精一冬去,tsowngH,t̙s̙oŋh
錞,定合一灰上,dwojX,d̙wəjʔ
錞,定合一灰去,dwojH,d̙wəjh
錞,常合三真平,dzywin,dʑwin
錟,定開一談平,dam,d̙ɑm
錠,定開四青去,dengH,d̙eŋh
錠,端開四青去,tengH,t̙eŋh
錡,羣開三B支上,gjeX,ɡɨ̯ieʔ
錡,羣開三B支平,gje,ɡɨ̯ie
錡,疑開三B支上,ngjeX,ŋɨ̯ieʔ
錢,從開三仙平,dzjen,dzjen
錢,精開三仙上,tsjenX,tsjenʔ
錣,知合二刪入,trwaet,ʈwaˤt
錣,知合三祭去,trjwejH,ʈjwejh
錤,見開三C之平,ki,kɨ
錤,羣開三C之平,gi,ɡɨ
錥,以三東入,yuwk,juk
錦,見開三B侵上,kimX,kɨ̯imʔ
錧,見合一寒上,kwanX,qwɑnʔ
錧,見合一寒去,kwanH,qwɑnh
錪,透開四先上,thenX,t̙ʰenʔ
錪,端開四先上,tenX,t̙enʔ
錫,心開四青入,sek,s̙ek
錭,定開一豪平,daw,d̙əw
錮,見一模去,kuH,qoh
錯,清一模去,tshuH,t̙s̙ʰoh
錯,清開一唐入,tshak,t̙s̙ʰɑk
錽,明三C凡上,mjomX,mɨ̯əmʔ
鍇,見開二皆平,keaj,qeˤj
鍇,溪開二皆上,kheajX,qʰeˤjʔ
鍉,端開四齊平,tej,t̙ej
鍊,來開四先去,lenH,l̙enh
鍋,見合一歌平,kwa,qwɑ
鍍,定一模去,duH,d̙oh
鍍,定一模平,du,d̙o
鍎,定合一魂入,dwot,d̙wət
鍏,云合三C微上,hjw+jX,wɨjʔ
鍏,云合三C微平,hjw+j,wɨj
鍑,幫三C尤去,pjuwH,pɨ̯uh
鍑,幫三C東入,pjuwk,pɨ̯uk
鍒,日三尤平,nyuw,ɲu
鍔,疑開一唐入,ngak,ɴɑk
鍖,徹開三侵上,trhimX,ʈʰimʔ
鍚,以開三陽平,yang,jɑŋ
鍛,端合一寒去,twanH,t̙wɑnh
鍜,匣開二麻平,hae,ʁaˤ
鍝,疑合三C虞平,ngju,ŋɨ̯o
鍠,匣合二庚平,hwaeng,ʁwaˤŋ
鍡,影合一灰上,'wojX,ʔ̙wəjʔ
鍤,初開二咸入,tsrheap,tʂʰeˤp
鍤,徹開三鹽入,trhjep,ʈʰjep
鍥,見開四先入,ket,qet
鍥,溪開四先入,khet,qʰet
鍦,書開三支去,syeH,ɕieh
鍦,書開三支平,sye,ɕie
鍦,常開三麻平,dzyae,dʑa
鍧,曉合二耕平,xweang,χweˤŋ
鍨,羣合三B脂平,gwij,ɡwɨ̯i
鍪,明三C尤平,mjuw,mɨ̯u
鍫,清開三宵平,tshjew,tsʰjew
鍭,匣一侯去,huwH,ʁuh
鍭,匣一侯平,huw,ʁu
鍮,透一侯平,thuw,t̙ʰu
鍰,匣合二刪平,hwaen,ʁwaˤn
鍱,以開三鹽入,yep,jep
鍴,端合一寒平,twan,t̙wɑn
鍵,羣開三B仙上,gjenX,ɡɨ̯enʔ
鍵,羣開三B仙平,gjen,ɡɨ̯en
鍵,羣開三C元上,gjonX,ɡɨ̯ənʔ
鍺,端合一歌上,twaX,t̙wɑʔ
鍻,見開三C元入,kjot,kɨ̯ət
鍼,章開三侵平,tsyim,tɕim
鍼,羣開三A鹽平,gjiem,ɡjem
鍼,羣開三B鹽平,gjem,ɡɨ̯em
鍾,章三鍾平,tsyowng,tɕoŋ
鎁,以開三麻平,yae,ja
鎈,初開二麻平,tsrhae,tʂʰaˤ
鎊,滂一唐平,phang,p̙ʰɑŋ
鎋,匣開二刪入,haet,ʁaˤt
鎌,來開三鹽平,ljem,ljem
鎎,曉開三C微去,xj+jH,xɨjh
鎐,精一東入,tsuwk,t̙s̙uk
鎒,泥一侯去,nuwH,n̙uh
鎔,以三鍾平,yowng,joŋ
鎕,定開一唐平,dang,d̙ɑŋ
鎖,心合一歌上,swaX,s̙wɑʔ
鎗,初開二庚平,tsrhaeng,tʂʰaˤŋ
鎘,來開四青入,lek,l̙ek
鎚,端合一灰平,twoj,t̙wəj
鎚,澄合三脂去,drwijH,ɖjwih
鎚,澄合三脂平,drwij,ɖjwi
鎛,幫一唐入,pak,p̙ɑk
鎜,並一寒平,ban,b̙ɑn
鎞,幫四齊平,pej,p̙ej
鎡,精開三之平,tsi,tsjɨ
鎢,影一模平,'u,ʔ̙o
鎣,以合三清平,yweng,jwaŋ
鎣,影合四青去,'wengH,ʔ̙weŋh
鎦,來三尤平,ljuw,lju
鎧,溪開一咍上,khojX,qʰəjʔ
鎧,溪開一咍去,khojH,qʰəjh
鎩,生開二山入,sreat,ʂeˤt
鎩,生開二皆去,sreajH,ʂeˤjh
鎩,生開三祭去,srjejH,ʂɨ̯ejh
鎪,生三尤平,srjuw,ʂɨ̯u
鎬,匣開一豪上,hawX,ʁəwʔ
鎮,知開三真去,trinH,ʈinh
鎮,知開三真平,trin,ʈin
鎰,以開三真入,yit,jit
鏀,來一模上,luX,l̙oʔ
鏂,影一侯平,'uw,ʔ̙u
鏃,精一東入,tsuwk,t̙s̙uk
鏆,見合一寒去,kwanH,qwɑnh
鏇,邪合三仙去,zjwenH,zjwenh
鏇,邪合三仙平,zjwen,zjwen
鏈,來開三仙平,ljen,ljen
鏈,徹開三仙平,trhjen,ʈʰjen
鏉,心一侯去,suwH,s̙uh
鏉,心一侯平,suw,s̙u
鏉,生三尤去,srjuwH,ʂɨ̯uh
鏊,疑開一豪去,ngawH,ɴəwh
鏋,明一寒上,manX,m̙ɑnʔ
鏌,明一唐入,mak,m̙ɑk
鏎,幫三A真入,pjit,pjit
鏏,邪合三祭去,zjwejH,zjwejh
鏐,來三尤平,ljuw,lju
鏐,來開三幽平,ljiw,liw
鏑,端開四青入,tek,t̙ek
鏓,清一東平,tshuwng,t̙s̙ʰuŋ
鏔,以開三之平,yi,jɨ
鏔,以開三脂平,yij,ji
鏕,來一東入,luwk,l̙uk
鏖,影開一豪平,'aw,ʔ̙əw
鏗,溪開二耕平,kheang,qʰeˤŋ
鏘,清開三陽平,tshjang,tsʰjɑŋ
鏙,清合一灰上,tshwojX,t̙s̙ʰwəjʔ
鏚,清開四青入,tshek,t̙s̙ʰek
鏜,透開一唐平,thang,t̙ʰɑŋ
鏝,明一寒去,manH,m̙ɑnh
鏝,明一寒平,man,m̙ɑn
鏞,以三鍾平,yowng,joŋ
鏟,初開二山上,tsrheanX,tʂʰeˤnʔ
鏟,初開二刪去,tsrhaenH,tʂʰaˤnh
鏡,見開三B庚去,kjaengH,kɨ̯aŋh
鏢,滂三A宵平,phjiew,pʰjew
鏤,來一侯去,luwH,l̙uh
鏤,來合三虞平,lju,ljo
鏦,初二江平,tsrhaewng,tʂʰoˤŋ
鏦,清三鍾平,tshjowng,tsʰjoŋ
鏨,崇開二咸平,dzream,dʐeˤm
鏨,從開一談上,dzamX,d̙z̙ɑmʔ
鏨,從開一談去,dzamH,d̙z̙ɑmh
鏨,從開一談平,dzam,d̙z̙ɑm
鏨,從開三鹽上,dzjemX,dzjemʔ
鏳,崇開二耕平,dzreang,dʐeˤŋ
鏵,匣合二麻平,hwae,ʁwaˤ
鏶,從開三侵入,dzip,dzip
鏶,清開三鹽入,tshjep,tsʰjep
鏷,並一冬入,bowk,b̙ok
鏸,匣合四齊去,hwejH,ʁwejh
鏹,見開三C陽上,kjangX,kɨ̯ɑŋʔ
鏺,滂一寒入,phat,p̙ʰɑt
鏻,來開三真去,linH,linh
鏻,來開三真平,lin,lin
鏻,來開四青平,leng,l̙eŋ
鏾,心開一寒上,sanX,s̙ɑnʔ
鐁,心開三支平,sje,sie
鐃,孃開二肴平,nraew,ɳaˤw
鐄,匣合二庚平,hwaeng,ʁwaˤŋ
鐅,滂四先入,phet,p̙ʰet
鐆,邪合三脂去,zwijH,zjwih
鐇,並三C元平,bjon,bɨ̯ən
鐇,幫三C元平,pjon,pɨ̯ən
鐈,羣開三B宵平,gjew,ɡɨ̯ew
鐉,清合三仙平,tshjwen,tsʰjwen
鐋,透開一唐去,thangH,t̙ʰɑŋh
鐍,見合四先入,kwet,qwet
鐎,從開三宵平,dzjew,dzjew
鐎,精開三宵平,tsjew,tsjew
鐏,從合一魂去,dzwonH,d̙z̙wənh
鐐,來開四蕭去,lewH,l̙ewh
鐐,來開四蕭平,lew,l̙ew
鐓,定合一灰去,dwojH,d̙wəjh
鐔,以開三侵平,yim,jim
鐔,邪開三侵平,zim,zim
鐔,定開一覃平,dom,d̙əm
鐕,精開一覃平,tsom,t̙s̙əm
鐖,見開三C微平,kj+j,kɨj
鐘,章三鍾平,tsyowng,tɕoŋ
鐙,端開一登去,tongH,t̙əŋh
鐧,見開二刪去,kaenH,qaˤnh
鐩,邪合三脂去,zwijH,zjwih
鐪,來一模上,luX,l̙oʔ
鐫,精合三仙平,tsjwen,tsjwen
鐬,曉合一泰去,xwajH,χwɑjh
鐮,來開三鹽平,ljem,ljem
鐯,知開三陽入,trjak,ʈjɑk
鐰,從開一豪平,dzaw,d̙z̙əw
鐰,清開三宵平,tshjew,tsʰjew
鐲,常三鍾入,dzyowk,dʑok
鐲,澄二江入,draewk,ɖoˤk
鐳,來合一灰平,lwoj,l̙wəj
鐴,幫三A清入,pjiek,pjak
鐵,透開四先入,thet,t̙ʰet
鐶,匣合二刪平,hwaen,ʁwaˤn
鐸,定開一唐入,dak,d̙ɑk
鐹,見合一歌上,kwaX,qwɑʔ
鐹,見合一歌去,kwaH,qwɑh
鐺,初開二庚平,tsrhaeng,tʂʰaˤŋ
鐺,端開一唐平,tang,t̙ɑŋ
鐻,見開三C魚去,kjoH,kɨ̯əh
鐻,羣開三C魚上,gjoX,ɡɨ̯əʔ
鐻,羣開三C魚平,gjo,ɡɨ̯ə
鐼,並三C文平,bjun,bɨ̯un
鐼,曉合三C文去,xjunH,xɨ̯unh
鑄,章合三虞去,tsyuH,tɕoh
鑈,泥開四添入,nep,n̙ep
鑈,泥開四齊上,nejX,n̙ejʔ
鑊,匣合一唐入,hwak,ʁwɑk
鑋,溪開三A清平,khjieng,kʰjaŋ
鑋,溪開四青去,khengH,qʰeŋh
鑌,幫三A真平,pjin,pjin
鑏,孃開二耕平,nreang,ɳeˤŋ
鑐,心合三虞平,sju,sjo
鑑,見開二銜去,kaemH,qaˤmh
鑑,見開二銜平,kaem,qaˤm
鑒,見開二銜去,kaemH,qaˤmh
鑕,章開三真入,tsyit,tɕit
鑗,來開三脂平,lij,li
鑘,來合一灰上,lwojX,l̙wəjʔ
鑘,來合一灰平,lwoj,l̙wəj
鑛,見合二庚上,kwaengX,qwaˤŋʔ
鑞,來開一談入,lap,l̙ɑp
鑠,書開三陽入,syak,ɕɑk
鑢,來開三魚去,ljoH,ljəh
鑣,幫三B宵平,pjew,pɨ̯ew
鑩,疑開一唐入,ngak,ɴɑk
鑪,來一模平,lu,l̙o
鑭,來開一寒去,lanH,l̙ɑnh
鑮,並一唐入,bak,b̙ɑk
鑮,幫一唐入,pak,p̙ɑk
鑯,精開三鹽平,tsjem,tsjem
鑰,以開三陽入,yak,jɑk
鑱,崇開二銜去,dzraemH,dʐaˤmh
鑱,崇開二銜平,dzraem,dʐaˤm
鑲,心開三陽平,sjang,sjɑŋ
鑲,日開三陽平,nyang,ɲɑŋ
鑲,孃開三陽平,nrjang,ɳjɑŋ
鑳,羣開三B仙上,gjenX,ɡɨ̯enʔ
鑴,匣合四齊平,hwej,ʁwej
鑴,曉合三A支平,xjwie,xjwie
鑷,孃開三鹽入,nrjep,ɳjep
鑹,清合一寒去,tshwanH,t̙s̙ʰwɑnh
鑺,羣合三C虞平,gju,ɡɨ̯o
鑼,來開一歌平,la,l̙ɑ
鑽,精合一寒去,tswanH,t̙s̙wɑnh
鑽,精合一寒平,tswan,t̙s̙wɑn
鑾,來合一寒平,lwan,l̙wɑn
鑿,從一東入,dzuwk,d̙z̙uk
鑿,從開一唐入,dzak,d̙z̙ɑk
鑿,精開一唐入,tsak,t̙s̙ɑk
钀,疑開三B仙入,ngjet,ŋɨ̯et
钀,疑開三C元入,ngjot,ŋɨ̯ət
钁,見合三C陽入,kjwak,kwɨ̯ɑk
钃,知三鍾入,trjowk,ʈjok
長,知開三陽上,trjangX,ʈjɑŋʔ
長,澄開三陽去,drjangH,ɖjɑŋh
長,澄開三陽平,drjang,ɖjɑŋ
镺,影開一豪上,'awX,ʔ̙əwʔ
镺,影開一豪去,'awH,ʔ̙əwh
镻,定開四先入,det,d̙et
镽,來開四蕭上,lewX,l̙ewʔ
镾,明三A支平,mjie,mjie
門,明一魂平,mwon,m̙wən
閃,書開三鹽上,syemX,ɕemʔ
閃,書開三鹽去,syemH,ɕemh
閇,幫四齊去,pejH,p̙ejh
閈,匣開一寒去,hanH,ʁɑnh
閉,幫四先入,pet,p̙et
閉,幫四齊去,pejH,p̙ejh
開,溪開一咍平,khoj,qʰəj
閌,溪開一唐去,khangH,qʰɑŋh
閍,幫二庚平,paeng,p̙aˤŋ
閎,匣合二耕平,hweang,ʁweˤŋ
閏,日合三真去,nywinH,ɲwinh
閐,心開一覃去,somH,s̙əmh
閑,匣開二山平,hean,ʁeˤn
閒,見開二山去,keanH,qeˤnh
閒,見開二山平,kean,qeˤn
閔,明三B真上,minX,mɨ̯inʔ
閘,見開一談入,kap,qɑp
閘,影開二銜入,'aep,ʔ̙aˤp
閛,滂二耕平,pheang,p̙ʰeˤŋ
閜,曉開二麻上,xaeX,χaˤʔ
閝,來開四青平,leng,l̙eŋ
閞,並三B仙去,bjenH,bɨ̯enh
閞,並三C元去,bjonH,bɨ̯ənh
閟,幫三B脂去,pijH,pɨ̯ih
閡,疑開一咍去,ngojH,ɴəjh
関,見合二刪平,kwaen,qwaˤn
閣,見開一唐入,kak,qɑk
閤,見開一覃入,kop,qəp
閥,並三C元入,bjot,bɨ̯ət
閨,見合四齊平,kwej,qwej
閩,明三B真平,min,mɨ̯in
閩,明三C文平,mjun,mɨ̯un
閫,溪合一魂上,khwonX,qʰwənʔ
閬,來開一唐去,langH,l̙ɑŋh
閬,來開一唐平,lang,l̙ɑŋ
閭,來開三魚平,ljo,ljə
閰,見三C東入,kjuwk,kɨ̯uk
閱,以合三仙入,ywet,jwet
閵,來開三真去,linH,linh
閶,昌開三陽平,tsyhang,tɕʰɑŋ
閷,生開二皆去,sreajH,ʂeˤjh
閹,影開三B鹽上,'jemX,ʔɨ̯emʔ
閹,影開三B鹽平,'jem,ʔɨ̯em
閻,以開三鹽平,yem,jem
閼,影開一寒入,'at,ʔ̙ɑt
閼,影開三B仙平,'jen,ʔɨ̯en
閼,影開三C元入,'jot,ʔɨ̯ət
閼,影開四先平,'en,ʔ̙en
閽,曉合一魂平,xwon,χwən
閾,曉合三B蒸入,xwik,xwɨk
闃,溪合四青入,khwek,qʰwek
闄,影開三A宵上,'jiewX,ʔjewʔ
闅,明三A真平,mjin,mjin
闅,明三B真平,min,mɨ̯in
闅,明三C文平,mjun,mɨ̯un
闇,影開一覃去,'omH,ʔ̙əmh
闈,云合三C微平,hjw+j,wɨj
闉,影開三A真平,'jin,ʔjin
闊,溪合一寒入,khwat,qʰwɑt
闋,溪合四先入,khwet,qʰwet
闌,來開一寒平,lan,l̙ɑn
闍,常開三麻平,dzyae,dʑa
闍,端一模平,tu,t̙o
闐,定開四先去,denH,d̙enh
闐,定開四先平,den,d̙en
闑,疑開三B仙入,ngjet,ŋɨ̯et
闑,疑開四先入,nget,ɴet
闒,定開一談入,dap,d̙ɑp
闓,溪開一咍上,khojX,qʰəjʔ
闓,溪開一咍去,khojH,qʰəjh
闔,匣開一談入,hap,ʁɑp
闕,溪合三C元入,khjwot,kʰwɨ̯ət
闖,徹開三侵去,trhimH,ʈʰimh
闙,溪開四齊上,khejX,qʰejʔ
闚,溪合三A支平,khjwie,kʰjwie
闛,定開一唐平,dang,d̙ɑŋ
闛,透開一唐平,thang,t̙ʰɑŋ
關,見合二刪平,kwaen,qwaˤn
闞,溪開一談去,khamH,qʰɑmh
闞,曉開二銜去,xaemH,χaˤmh
闟,曉開三B侵入,xip,xɨ̯ip
闠,匣合一灰去,hwojH,ʁwəjh
闡,昌開三仙上,tsyhenX,tɕʰenʔ
闢,並三A清入,bjiek,bjak
闣,端開一唐去,tangH,t̙ɑŋh
闤,匣合二刪平,hwaen,ʁwaˤn
闥,透開一寒入,that,t̙ʰɑt
阜,並三C尤上,bjuwX,bɨ̯uʔ
阞,來開一登入,lok,l̙ək
阠,心開三真去,sinH,sinh
阠,生開三臻平,srin,ʂɨ̯in
阠,書開三真去,syinH,ɕinh
阡,清開四先平,tshen,t̙s̙ʰen
阤,書開三支上,syeX,ɕieʔ
阤,澄開三支上,drjeX,ɖieʔ
阧,端一侯上,tuwX,t̙uʔ
阪,並二刪上,baenX,b̙aˤnʔ
阪,幫三C元上,pjonX,pɨ̯ənʔ
阬,溪開一唐去,khangH,qʰɑŋh
阬,溪開二庚平,khaeng,qʰaˤŋ
阮,疑合三C元上,ngjwonX,ŋwɨ̯ənʔ
阮,疑合三C元平,ngjwon,ŋwɨ̯ən
阯,章開三之上,tsyiX,tɕɨʔ
阰,並三A脂平,bjij,bji
阱,從開三清上,dzjengX,dzjaŋʔ
防,並三C陽去,bjangH,bɨ̯ɑŋh
防,並三C陽平,bjang,bɨ̯ɑŋ
阸,影開二佳去,'eaH,ʔ̙eˤh
阸,影開二耕入,'eak,ʔ̙eˤk
阹,溪開三C魚平,khjo,kʰɨ̯ə
阺,澄開三脂平,drij,ɖi
阻,莊開三魚上,tsrjoX,tʂɨ̯əʔ
阻,莊開三魚去,tsrjoH,tʂɨ̯əh
阼,從一模去,dzuH,d̙z̙oh
阽,以開三鹽平,yem,jem
阾,來開三清上,ljengX,ljaŋʔ
阾,來開四青平,leng,l̙eŋ
阿,影開一歌平,'a,ʔ̙ɑ
陀,定開一歌平,da,d̙ɑ
陂,幫三B支去,pjeH,pɨ̯ieh
陂,幫三B支平,pje,pɨ̯ie
附,並三C虞去,bjuH,bɨ̯oh
陊,定開一歌上,daX,d̙ɑʔ
陊,澄開三支上,drjeX,ɖieʔ
陋,來一侯去,luwH,l̙uh
陌,明二庚入,maek,m̙aˤk
降,匣二江平,haewng,ʁoˤŋ
降,見二江去,kaewngH,qoˤŋh
陎,常合三虞平,dzyu,dʑo
限,匣開二山上,heanX,ʁeˤnʔ
陑,日開三之平,nyi,ɲɨ
陒,見合三B支上,kjweX,kwɨ̯ieʔ
陓,影合三C虞平,'ju,ʔɨ̯o
陔,見開一咍平,koj,qəj
陖,心合三真去,swinH,sjwinh
陗,清開三宵去,tshjewH,tsʰjewh
陘,匣開四青平,heng,ʁeŋ
陙,常合三真平,dzywin,dʑwin
陚,幫三C虞去,pjuH,pɨ̯oh
陛,並四齊上,bejX,b̙ejʔ
陜,匣開二咸入,heap,ʁeˤp
陝,書開三鹽上,syemX,ɕemʔ
陞,書開三蒸平,sying,ɕɨŋ
陟,知開三蒸入,trik,ʈjɨk
陠,滂一模平,phu,p̙ʰo
陠,幫一模平,pu,p̙o
陡,端一侯上,tuwX,t̙uʔ
院,云合三B仙去,hjwenH,wɨ̯enh
院,匣合一寒平,hwan,ʁwɑn
陣,澄開三真去,drinH,ɖinh
除,澄開三魚去,drjoH,ɖjəh
除,澄開三魚平,drjo,ɖjə
陧,疑開四先入,nget,ɴet
陪,並一灰平,bwoj,b̙wəj
陫,並三C微上,bj+jX,bwɨjʔ
陬,莊三尤平,tsrjuw,tʂɨ̯u
陬,精一侯平,tsuw,t̙s̙u
陬,精合三虞平,tsju,tsjo
陭,影開三B支去,'jeH,ʔɨ̯ieh
陭,影開三B支平,'je,ʔɨ̯ie
陮,定合一灰上,dwojX,d̙wəjʔ
陯,來合三真平,lwin,ljwin
陰,影開三B侵平,'im,ʔɨ̯im
陲,常合三支平,dzywe,dʑwie
陳,澄開三真去,drinH,ɖinh
陳,澄開三真平,drin,ɖin
陴,並三A支平,bjie,bjie
陵,來開三蒸平,ling,ljɨŋ
陶,以開三宵平,yew,jew
陶,定開一豪平,daw,d̙əw
陷,匣開二咸去,heamH,ʁeˤmh
陸,來三東入,ljuwk,ljuk
陻,影開三A真平,'jin,ʔjin
陼,章開三魚上,tsyoX,tɕəʔ
陽,以開三陽平,yang,jɑŋ
陾,日開三之平,nyi,ɲɨ
陾,泥一侯上,nuwX,n̙uʔ
陿,匣開二咸入,heap,ʁeˤp
隃,心合三虞平,sju,sjo
隃,以合三虞平,yu,jo
隃,書合三虞去,syuH,ɕoh
隃,書合三虞平,syu,ɕo
隄,定開四齊平,dej,d̙ej
隄,端開四齊平,tej,t̙ej
隅,疑合三C虞平,ngju,ŋɨ̯o
隆,來三東平,ljuwng,ljuŋ
隇,影合三C微平,'jw+j,ʔwɨj
隈,影合一灰去,'wojH,ʔ̙wəjh
隈,影合一灰平,'woj,ʔ̙wəj
隊,定合一灰去,dwojH,d̙wəjh
隋,邪合三支平,zjwe,zjwie
隋,透合一歌上,thwaX,t̙ʰwɑʔ
隌,影開一覃上,'omX,ʔ̙əmʔ
隌,影開三B侵平,'im,ʔɨ̯im
隍,匣合一唐平,hwang,ʁwɑŋ
階,見開二皆平,keaj,qeˤj
隑,疑開一咍平,ngoj,ɴəj
隒,疑開三B鹽上,ngjemX,ŋɨ̯emʔ
隓,曉合三A支平,xjwie,xjwie
隔,見開二耕入,keak,qeˤk
隕,云合三B真上,hwinX,wɨ̯inʔ
隖,影一模上,'uX,ʔ̙oʔ
隗,疑合一灰上,ngwojX,ɴwəjʔ
隘,影開二佳去,'eaH,ʔ̙eˤh
隙,溪開三B庚入,khjaek,kʰɨ̯ak
隚,定開一唐平,dang,d̙ɑŋ
際,精開三祭去,tsjejH,tsjejh
障,章開三陽去,tsyangH,tɕɑŋh
障,章開三陽平,tsyang,tɕɑŋ
隤,定合一灰平,dwoj,d̙wəj
隥,端開一登去,tongH,t̙əŋh
隧,邪合三脂去,zwijH,zjwih
隨,邪合三支平,zjwe,zjwie
隩,影三C東入,'juwk,ʔɨ̯uk
隩,影開一豪去,'awH,ʔ̙əwh
險,曉開三B鹽上,xjemX,xɨ̯emʔ
隮,精開四齊去,tsejH,t̙s̙ejh
隮,精開四齊平,tsej,t̙s̙ej
隰,邪開三侵入,zip,zip
隱,影開三C殷上,'j+nX,ʔɨnʔ
隱,影開三C殷去,'j+nH,ʔɨnh
隳,曉合三A支平,xjwie,xjwie
隴,來三鍾上,ljowngX,ljoŋʔ
隵,曉開三B支平,xje,xɨ̯ie
隶,以開三脂去,yijH,jih
隷,來開四齊去,lejH,l̙ejh
隸,來開四齊去,lejH,l̙ejh
隹,章合三脂平,tsywij,tɕwi
隺,匣一冬入,howk,ʁok
隻,章開三清入,tsyek,tɕak
隼,心合三真上,swinX,sjwinʔ
隽,從合三仙上,dzjwenX,dzjwenʔ
隿,以開三蒸入,yik,jɨk
雀,精開三陽入,tsjak,tsjɑk
雁,疑開二刪去,ngaenH,ɴaˤnh
雂,羣開三B侵平,gim,ɡɨ̯im
雂,羣開三B鹽平,gjem,ɡɨ̯em
雃,溪開四先平,khen,qʰen
雃,疑開一寒平,ngan,ɴɑn
雄,云三C東平,hjuwng,wɨ̯uŋ
雅,疑開二麻上,ngaeX,ɴaˤʔ
集,從開三侵入,dzip,dzip
雇,匣一模上,huX,ʁoʔ
雇,見一模去,kuH,qoh
雈,匣合一寒平,hwan,ʁwɑn
雉,澄開三脂上,drijX,ɖiʔ
雊,見一侯去,kuwH,quh
雋,從合三仙上,dzjwenX,dzjwenʔ
雌,清開三支平,tshje,tsʰie
雍,影三C鍾去,'jowngH,ʔɨ̯oŋh
雍,影三C鍾平,'jowng,ʔɨ̯oŋ
雎,清開三魚平,tshjo,tsʰjə
雐,曉一模平,xu,χo
雒,來開一唐入,lak,l̙ɑk
雓,以開三魚平,yo,jə
雔,常三尤平,dzyuw,dʑu
雕,端開四蕭平,tew,t̙ew
雖,心合三脂平,swij,sjwi
雗,匣開一寒去,hanH,ʁɑnh
雘,影合一唐入,'wak,ʔ̙wɑk
雙,生二江平,sraewng,ʂoˤŋ
雚,見合一寒去,kwanH,qwɑnh
雛,崇合三虞平,dzrju,dʐɨ̯o
雜,從開一覃入,dzop,d̙z̙əp
雝,影三C鍾平,'jowng,ʔɨ̯oŋ
雞,見開四齊平,kej,qej
離,來開三支去,ljeH,lieh
離,來開三支平,lje,lie
離,來開四齊去,lejH,l̙ejh
難,泥開一寒去,nanH,n̙ɑnh
難,泥開一寒平,nan,n̙ɑn
雥,從開一覃入,dzop,d̙z̙əp
雨,云合三C虞上,hjuX,wɨ̯oʔ
雨,云合三C虞去,hjuH,wɨ̯oh
雩,云合三C虞平,hju,wɨ̯o
雩,曉合三C虞平,xju,xɨ̯o
雪,心合三仙入,sjwet,sjwet
雭,生開三侵入,srip,ʂɨ̯ip
雯,明三C文平,mjun,mɨ̯un
雰,滂三C文平,phjun,pʰɨ̯un
