character,position,baxter,emc
㤨,見三C鍾上,kjowngX,kɨ̯oŋʔ
㤩,溪開一唐入,khak,qʰɑk
㤮,云合三C陽去,hjwangH,wɨ̯ɑŋh
㤮,見合三C陽去,kjwangH,kwɨ̯ɑŋh
㤱,滂三C尤上,phjuwX,pʰɨ̯uʔ
㤱,滂三C尤去,phjuwH,pʰɨ̯uh
㤲,溪開四添入,khep,qʰep
㤴,昌開三鹽入,tsyhep,tɕʰep
㤴,徹開三鹽入,trhjep,ʈʰjep
㤸,曉開四青入,xek,χek
㤻,來合一魂上,lwonX,l̙wənʔ
㤾,心開一覃去,somH,s̙əmh
㤿,影開三A鹽平,'jiem,ʔjem
㤿,影開三C嚴去,'jaemH,ʔɨ̯əmh
㥂,透開一登入,thok,t̙ʰək
㥄,來開三蒸平,ling,ljɨŋ
㥆,透合一灰去,thwojH,t̙ʰwəjh
㥆,透合一魂入,thwot,t̙ʰwət
㥈,定開四添入,dep,d̙ep
㥊,並二耕平,beang,b̙eˤŋ
㥋,影開三C微上,'j+jX,ʔɨjʔ
㥋,影開三C微平,'j+j,ʔɨj
㥌,見三C東入,kjuwk,kɨ̯uk
㥏,透開四先上,thenX,t̙ʰenʔ
㥒,清開一咍上,tshojX,t̙s̙ʰəjʔ
㥓,溪開三B支上,khjeX,kʰɨ̯ieʔ
㥓,溪開三B支平,khje,kʰɨ̯ie
㥚,以合三虞上,yuX,joʔ
㥚,以合三虞平,yu,jo
㥛,見開三C蒸入,kik,kɨk
㥜,云合三C微去,hjw+jH,wɨjh
㥝,明三A支上,mjieX,mjieʔ
㥟,匣開二佳平,hea,ʁeˤ
㥠,心開三魚上,sjoX,sjəʔ
㥠,心開三魚平,sjo,sjə
㥢,從三尤平,dzjuw,dzju
㥦,溪開四添入,khep,qʰep
㥨,常合三支上,dzyweX,dʑwieʔ
㥯,影開三C殷上,'j+nX,ʔɨnʔ
㥯,影開三C殷去,'j+nH,ʔɨnh
㥴,以開三支上,yeX,jieʔ
㥴,以開三支平,ye,jie
㥶,心開一登入,sok,s̙ək
㥽,初開二耕入,tsrheak,tʂʰeˤk
㥾,孃開三真入,nrit,ɳit
㥾,孃開三蒸入,nrik,ɳjɨk
㦁,來開三仙平,ljen,ljen
㦃,生開二山上,sreanX,ʂeˤnʔ
㦃,初合二山上,tsrhweanX,tʂʰweˤnʔ
㦃,初開二山上,tsrheanX,tʂʰeˤnʔ
㦄,明二麻平,mae,m̙aˤ
㦅,定開四先入,det,d̙et
㦌,曉合一魂入,xwot,χwət
㦎,曉合二耕入,xweak,χweˤk
㦒,來開四齊平,lej,l̙ej
㦓,匣開四先上,henX,ʁenʔ
